"id","company","model","content","created_at","updated_at"
"123","SAMSUNG","GT-S526","فرام + بطاريه","2024-10-27 20:43:00","2024-10-27 20:43:00"
"124","SAMSUNG","A720F","فريم + كاميره","2024-10-27 20:44:01","2024-10-27 20:44:01"
"125","SAMSUNG","930 91","فرام","2024-10-27 20:46:37","2024-10-27 20:46:37"
"126","SAMSUNG","G935F","فرام + فلاته شحن 2","2024-10-27 20:48:32","2024-10-27 20:48:32"
"127","SAMSUNG","9082","فرام","2024-10-27 20:49:34","2024-10-27 20:49:34"
"128","SAMSUNG","NY005","شاشه بلفريم","2024-10-27 20:50:46","2024-10-27 20:50:46"
"129","SAMSUNG","G530","فرام","2024-10-27 20:52:00","2024-10-27 20:52:00"
"130","SAMSUNG","A50","باك + ميدل + بيت خط","2024-10-27 20:53:47","2024-10-27 20:53:47"
"131","SAMSUNG","A20","فرام","2024-10-27 20:54:32","2024-10-27 20:54:32"
"132","SAMSUNG","NOTE3","فرام + كاميرات","2024-10-27 20:55:30","2024-10-27 20:55:30"
"133","SAMSUNG","A51","شاشه بفريم + بطاريه","2024-10-27 20:56:15","2024-10-27 20:56:15"
"134","SAMSUNG","GT-67500","كامل بدون بطاريه","2024-10-27 20:56:54","2024-10-27 20:56:54"
"135","SAMSUNG","S8+","باك + فلاته شحن + بصمه","2024-10-27 20:58:24","2024-10-27 20:58:24"
"136","SAMSUNG","GT-19192","كامل بدون بطاريه و باك","2024-10-27 20:59:23","2024-10-27 20:59:23"
"137","SAMSUNG","J110H","هوسينج","2024-10-27 21:00:02","2024-10-27 21:00:02"
"138","SAMSUNG","NOTE3","كامل بدون بطاريه","2024-10-27 21:47:06","2024-10-27 21:47:06"
"139","SAMSUNG","A11","باك + فريم","2024-10-27 21:47:38","2024-10-27 21:47:38"
"140","SAMSUNG","G360","هوسينج","2024-10-27 21:48:08","2024-10-27 21:48:08"
"141","SAMSUNG","GT-19100","بورده + فريم","2024-10-27 22:21:41","2024-10-27 22:21:41"
"142","SAMSUNG","G350E","كامل بدون شاشه","2024-10-27 22:22:52","2024-10-27 22:22:52"
